image,noise_ratio,method,PSNR,SSIM,IEF
kodim07,0.8,DBRAMF W5×5,23.20206386304331,0.7300041257898093,46.07510619252943
kodim07,0.8,DBRAMF W7×7,23.201994523986144,0.7299930663381863,46.07437056749816
kodim07,0.9,DBRAMF W3×3,20.4006400708619,0.5641409506151829,27.20591199120055
kodim07,0.9,DBRAMF W5×5,20.4006400708619,0.5641409506151829,27.20591199120055
kodim07,0.9,DBRAMF W7×7,20.400343226703498,0.5640973627099864,27.204052506359446
kodim08,0.1,DBRAMF W3×3,25.831263215964974,0.9626790604405159,12.0041425872657
kodim08,0.1,DBRAMF W5×5,25.831263215964974,0.9626790604405159,12.0041425872657
kodim08,0.1,DBRAMF W7×7,25.831263215964974,0.9626790604405159,12.0041425872657
kodim08,0.2,DBRAMF W3×3,24.496914355915177,0.9356251567887484,17.582728965053917
kodim08,0.2,DBRAMF W5×5,24.496914355915177,0.9356251567887484,17.582728965053917
kodim08,0.2,DBRAMF W7×7,24.496914355915177,0.9356251567887484,17.582728965053917
kodim08,0.3,DBRAMF W3×3,23.331732337884677,0.9031017769191125,20.128173666942427
kodim08,0.3,DBRAMF W5×5,23.331752127814664,0.9031017879149676,20.12826538720871
kodim08,0.3,DBRAMF W7×7,23.331752127814664,0.9031017879149676,20.12826538720871
kodim08,0.4,DBRAMF W3×3,22.135641131633832,0.861601369928385,20.402443867021066
kodim08,0.4,DBRAMF W5×5,22.135665878250098,0.8616013982757571,20.40256012290475
kodim08,0.4,DBRAMF W7×7,22.135665878250098,0.8616013982757571,20.40256012290475
kodim08,0.5,DBRAMF W3×3,21.02114349637317,0.8087305896630563,19.743253589539428
kodim08,0.5,DBRAMF W5×5,21.021162641832063,0.8087306180104284,19.743340625985663
kodim08,0.5,DBRAMF W7×7,21.021162641832063,0.8087306180104284,19.743340625985663
kodim08,0.6,DBRAMF W3×3,19.82902319273387,0.7404077807072427,18.02652181660167
kodim08,0.6,DBRAMF W5×5,19.8290377424165,0.7404078564360242,18.026582208944106
kodim08,0.6,DBRAMF W7×7,19.8290377424165,0.7404078564360242,18.026582208944106
kodim08,0.7,DBRAMF W3×3,18.51365991388436,0.6485511974008394,15.55494920979875
kodim08,0.7,DBRAMF W5×5,18.51367143362519,0.6485512989833088,15.554990469641691
kodim08,0.7,DBRAMF W7×7,18.51367143362519,0.6485512989833088,15.554990469641691
kodim08,0.8,DBRAMF W3×3,16.890059327844703,0.516504200127746,12.23196392339094
kodim08,0.8,DBRAMF W5×5,16.890059327844703,0.516504200127746,12.23196392339094
kodim08,0.8,DBRAMF W7×7,16.889725597199043,0.5164968244334673,12.231024002543283
kodim08,0.9,DBRAMF W3×3,14.618359550768803,0.31973872219407257,8.14440409267112
kodim08,0.9,DBRAMF W5×5,14.618359550768803,0.31973872219407257,8.14440409267112
kodim08,0.9,DBRAMF W7×7,14.617144466334373,0.31970578991666415,8.142125741277349
kodim09,0.1,DBRAMF W3×3,34.55616175289238,0.9895854804894054,78.0870160326249
kodim09,0.1,DBRAMF W5×5,34.55616175289238,0.9895854804894054,78.0870160326249
kodim09,0.1,DBRAMF W7×7,34.55616175289238,0.9895854804894054,78.0870160326249
kodim09,0.2,DBRAMF W3×3,33.46837828989709,0.9782941949452116,121.68506851746484
kodim09,0.2,DBRAMF W5×5,33.46837828989709,0.9782941949452116,121.68506851746484
kodim09,0.2,DBRAMF W7×7,33.46837828989709,0.9782941949452116,121.68506851746484
kodim09,0.3,DBRAMF W3×3,32.207286638651,0.9639335347136841,136.56160819819854
kodim09,0.3,DBRAMF W5×5,32.2077816419568,0.9639343863181331,136.57717420303166
kodim09,0.3,DBRAMF W7×7,32.2077816419568,0.9639343863181331,136.57717420303166
kodim09,0.4,DBRAMF W3×3,30.927692354328833,0.9453412560623874,135.2535403270864
kodim09,0.4,DBRAMF W5×5,30.928061659153624,0.9453421617706216,135.26504217914967
kodim09,0.4,DBRAMF W7×7,30.928061659153624,0.9453421617706216,135.26504217914967
kodim09,0.5,DBRAMF W3×3,29.488197010876696,0.9214207912146904,121.2106986872619
kodim09,0.5,DBRAMF W5×5,29.488462123396552,0.9214216969229245,121.2180981491332
kodim09,0.5,DBRAMF W7×7,29.488462123396552,0.9214216969229245,121.2180981491332
kodim09,0.6,DBRAMF W3×3,27.99483829844617,0.8886701292424389,103.00389967288129
kodim09,0.6,DBRAMF W5×5,27.995026269297924,0.8886710359110245,103.00835797262361
kodim09,0.6,DBRAMF W7×7,27.995026269297924,0.8886710359110245,103.00835797262361
kodim09,0.7,DBRAMF W3×3,26.35691172778924,0.8428518369323846,82.45806746902724
